REPORTE DE TOKENS: prueba_mips.txt
======================================================================
IDENTIFICADOR (TIPO)      | LEXEMA                    | LINEA      | COLUMNA   
----------------------------------------------------------------------
2 (WORLD)                 | world                     | 7          | 1         
59 (ID)                   | entero                    | 7          | 7         
4 (INT)                   | int                       | 7          | 14        
51 (ASSIGN)               | =                         | 7          | 18        
55 (INT_LITERAL)          | 42                        | 7          | 20        
24 (ENDL)                 | endl                      | 7          | 23        
2 (WORLD)                 | world                     | 8          | 1         
59 (ID)                   | decimal                   | 8          | 7         
5 (FLOAT)                 | float                     | 8          | 15        
51 (ASSIGN)               | =                         | 8          | 21        
56 (FLOAT_LITERAL)        | 3.14                      | 8          | 23        
24 (ENDL)                 | endl                      | 8          | 28        
2 (WORLD)                 | world                     | 9          | 1         
59 (ID)                   | estado                    | 9          | 7         
6 (BOOL)                  | bool                      | 9          | 14        
51 (ASSIGN)               | =                         | 9          | 19        
26 (FALSE)                | false                     | 9          | 21        
24 (ENDL)                 | endl                      | 9          | 27        
2 (WORLD)                 | world                     | 10         | 1         
59 (ID)                   | letra                     | 10         | 7         
7 (CHAR)                  | char                      | 10         | 13        
51 (ASSIGN)               | =                         | 10         | 18        
58 (CHAR_LITERAL)         | 'A'                       | 10         | 20        
24 (ENDL)                 | endl                      | 10         | 24        
2 (WORLD)                 | world                     | 11         | 1         
59 (ID)                   | texto                     | 11         | 7         
8 (STRING)                | string                    | 11         | 13        
51 (ASSIGN)               | =                         | 11         | 20        
57 (STRING_LITERAL)       | "prueba"                  | 11         | 29        
24 (ENDL)                 | endl                      | 11         | 31        
2 (WORLD)                 | world                     | 12         | 1         
59 (ID)                   | matriz                    | 12         | 7         
4 (INT)                   | int                       | 12         | 14        
31 (OPEN_BRACKET)         | [                         | 12         | 17        
55 (INT_LITERAL)          | 2                         | 12         | 18        
53 (COMMA)                | ,                         | 12         | 19        
55 (INT_LITERAL)          | 2                         | 12         | 21        
32 (CLOSE_BRACKET)        | ]                         | 12         | 22        
51 (ASSIGN)               | =                         | 12         | 24        
27 (OPEN_BLOCK)           | ¡                         | 12         | 26        
27 (OPEN_BLOCK)           | ¡                         | 12         | 28        
55 (INT_LITERAL)          | 1                         | 12         | 29        
53 (COMMA)                | ,                         | 12         | 30        
55 (INT_LITERAL)          | 2                         | 12         | 32        
28 (CLOSE_BLOCK)          | !                         | 12         | 33        
53 (COMMA)                | ,                         | 12         | 34        
27 (OPEN_BLOCK)           | ¡                         | 12         | 36        
55 (INT_LITERAL)          | 3                         | 12         | 37        
53 (COMMA)                | ,                         | 12         | 38        
55 (INT_LITERAL)          | 4                         | 12         | 40        
28 (CLOSE_BLOCK)          | !                         | 12         | 41        
28 (CLOSE_BLOCK)          | !                         | 12         | 43        
24 (ENDL)                 | endl                      | 12         | 45        
11 (GIFT)                 | gift                      | 15         | 1         
59 (ID)                   | sumar                     | 15         | 6         
29 (OPEN_PAREN)           | ¿                         | 15         | 12        
59 (ID)                   | a                         | 15         | 14        
4 (INT)                   | int                       | 15         | 16        
53 (COMMA)                | ,                         | 15         | 19        
59 (ID)                   | b                         | 15         | 21        
4 (INT)                   | int                       | 15         | 23        
30 (CLOSE_PAREN)          | ?                         | 15         | 27        
4 (INT)                   | int                       | 15         | 29        
27 (OPEN_BLOCK)           | ¡                         | 15         | 33        
20 (RETURN)               | return                    | 16         | 5         
59 (ID)                   | a                         | 16         | 12        
35 (PLUS)                 | +                         | 16         | 14        
59 (ID)                   | b                         | 16         | 16        
24 (ENDL)                 | endl                      | 16         | 18        
28 (CLOSE_BLOCK)          | !                         | 17         | 1         
11 (GIFT)                 | gift                      | 20         | 1         
59 (ID)                   | factorial                 | 20         | 6         
29 (OPEN_PAREN)           | ¿                         | 20         | 16        
59 (ID)                   | n                         | 20         | 18        
4 (INT)                   | int                       | 20         | 20        
