REPORTE DE TOKENS: prueba_profe.txt
======================================================================
IDENTIFICADOR (TIPO)      | LEXEMA                    | LINEA      | COLUMNA   
----------------------------------------------------------------------
2 (WORLD)                 | world                     | 2          | 3         
59 (ID)                   | _s2_                      | 2          | 9         
8 (STRING)                | string                    | 2          | 14        
24 (ENDL)                 | endl                      | 2          | 21        
2 (WORLD)                 | world                     | 3          | 2         
59 (ID)                   | ss                        | 3          | 8         
8 (STRING)                | string                    | 3          | 11        
24 (ENDL)                 | endl                      | 3          | 19        
2 (WORLD)                 | world                     | 4          | 2         
59 (ID)                   | ff                        | 4          | 8         
5 (FLOAT)                 | float                     | 4          | 11        
24 (ENDL)                 | endl                      | 4          | 18        
2 (WORLD)                 | world                     | 5          | 2         
59 (ID)                   | ii                        | 5          | 8         
4 (INT)                   | int                       | 5          | 11        
24 (ENDL)                 | endl                      | 5          | 16        
9 (NAVIDAD)               | navidad                   | 7          | 2         
10 (COAL)                 | coal                      | 7          | 10        
27 (OPEN_BLOCK)           | ¡                         | 7          | 15        
3 (LOCAL)                 | local                     | 8          | 2         
59 (ID)                   | i                         | 8          | 9         
5 (FLOAT)                 | float                     | 8          | 11        
51 (ASSIGN)               | =                         | 8          | 16        
36 (MINUS)                | -                         | 8          | 17        
56 (FLOAT_LITERAL)        | 0.01                      | 8          | 18        
24 (ENDL)                 | endl                      | 8          | 23        
3 (LOCAL)                 | local                     | 9          | 2         
59 (ID)                   | _miChar_                  | 9          | 8         
7 (CHAR)                  | char                      | 9          | 17        
51 (ASSIGN)               | =                         | 9          | 22        
58 (CHAR_LITERAL)         | '!'                       | 9          | 23        
24 (ENDL)                 | endl                      | 9          | 27        
3 (LOCAL)                 | local                     | 10         | 2         
59 (ID)                   | _miChar2_                 | 10         | 8         
7 (CHAR)                  | char                      | 10         | 18        
51 (ASSIGN)               | =                         | 10         | 23        
58 (CHAR_LITERAL)         | '!'                       | 10         | 24        
24 (ENDL)                 | endl                      | 10         | 28        
3 (LOCAL)                 | local                     | 11         | 2         
59 (ID)                   | _arr_                     | 11         | 8         
7 (CHAR)                  | char                      | 11         | 14        
31 (OPEN_BRACKET)         | [                         | 11         | 18        
55 (INT_LITERAL)          | 3                         | 11         | 19        
53 (COMMA)                | ,                         | 11         | 20        
55 (INT_LITERAL)          | 3                         | 11         | 21        
32 (CLOSE_BRACKET)        | ]                         | 11         | 22        
51 (ASSIGN)               | =                         | 11         | 24        
27 (OPEN_BLOCK)           | ¡                         | 11         | 26        
